ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
12,MOOSE,Rubbing,1,2,15,2,7,854,32,3.0,100,UP,163,18.0,true,10034,8782,2958,567,685,0,2,1,DOWN,1.0,317.0,417.0,550.0,1412.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,16,2,8,854,32,6.0,200,UP,167,18.0,true,5837,4048,-1,964,825,0,0,1,DOWN,1.0,346.0,584.0,428.0,1309.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,17,3,1,854,32,3.0,200,UP,284,18.0,true,11998,7296,3391,533,4169,1,2,1,DOWN,1.0,215.0,692.0,486.0,1211.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,18,3,2,854,32,6.0,200,DOWN,402,18.0,true,12472,10271,2863,1108,1093,0,1,2,DOWN,1.0,301.684,542.52,431.48,1427.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,19,3,3,854,32,6.0,100,DOWN,804,18.0,true,5024,3550,1502,350,1124,0,1,1,DOWN,1.0,283.0,591.0,385.0,1510.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,20,3,4,854,32,3.0,300,UP,49,18.0,true,12666,11569,1425,437,660,0,1,2,DOWN,1.0,338.706,623.0,607.0,1562.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,21,3,5,854,32,6.0,300,UP,22,18.0,true,8063,6718,1870,325,1020,0,1,1,DOWN,1.0,375.0,524.0,502.0,1336.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,22,3,6,854,32,6.0,50,DOWN,341,18.0,true,4406,3199,2501,394,813,1,1,1,DOWN,1.0,361.0,538.0,445.584,1564.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,23,3,7,854,32,3.0,100,DOWN,491,18.0,true,7907,6833,1377,244,830,0,1,2,DOWN,1.0,362.0,495.0,493.493,1475.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,24,3,8,854,32,3.0,50,UP,458,18.0,true,4050,3533,1534,495,22,0,1,1,UP,1.0,368.0,567.0,455.0,1359.0,1080.0,1661.0,4.331,
